ts_utc,repo,commit,scheme,bench_name,chain_profile,gas_verify,security_metric_type,security_metric_value,gas_per_secure_bit,surface_id,method,surface_layer,hash_profile,security_model,surface_class,key_storage_assumption,lane_assumption,wiring_lane,notes,depends_on,provenance,vector_pack_ref,vector_pack_id,vector_id
2026-01-04T14:19:37Z,QuantumAccount,1970dcad8907c5dcb0df5ae51ea962b10fc3227b,falcon,falcon_handleOps_userOp_e2e,EVM/L1,10966076,security_equiv_bits,256.0,42836.234375,aa::handleOps::falcon,native,execution,unknown,weakest-link,aa::handleOps,unknown,unknown,unknown,sec256=256 gpb256=42836.234375 weakest_link=ecdsa::l1_envelope_assumption eff128=128 gpb_eff=85672.46875,ecdsa::l1_envelope_assumption,,,,
2026-01-04T14:52:38Z,ZKNoxHQ/ETHDILITHIUM,df999ed4f8032d26d9d3d22748407afbb7978ae7,dilithium,dilithium_verify_nistkat,EVM/L1,20161676,security_equiv_bits,128.0,157513.09375,sig::dilithium::verify,native,execution,unknown,standalone,sig::verify,unknown,unknown,unknown,sec128=128 gpb128=157513.09375,,"{""repo"":""ZKNoxHQ/ETHDILITHIUM"",""commit"":""df999ed4f8032d26d9d3d22748407afbb7978ae7"",""path"":""vendors/ETHDILITHIUM""}",,,
2026-01-04T14:52:38Z,ZKNoxHQ/ETHDILITHIUM,df999ed4f8032d26d9d3d22748407afbb7978ae7,dilithium,ethdilithium_verify_evmfriendly,EVM/L1,13495423,security_equiv_bits,128.0,105432.9921875,sig::dilithium::verify,native,execution,unknown,standalone,sig::verify,unknown,unknown,unknown,sec128=128 gpb128=105432.9921875,,"{""repo"":""ZKNoxHQ/ETHDILITHIUM"",""commit"":""df999ed4f8032d26d9d3d22748407afbb7978ae7"",""path"":""vendors/ETHDILITHIUM""}",,,
2026-01-04T20:49:38Z,gas-per-secure-bit,6ae5e5b5d4d06fc3d865da3254bdcb909e770c1a,randao,l1_randao_mix_surface,EVM/L1,5820,H_min,32.0,181.875,entropy::randao_mix_surface,native,protocol,protocol,raw,EntropySurface,unknown,unknown,unknown,"Measured via Foundry (log): ProtocolRandaoSurface_Gas_Test.test_l1_randao_mix_surface_gas() => 5820 gas. If mode=harness, this includes test overhead because the marker log line was not found. Denominator is H_min (min-entropy bits) under explicit threat model; H_min=32 is a declared placeholder until model is pinned down.",,,,,
2026-01-04T20:49:38Z,gas-per-secure-bit,6ae5e5b5d4d06fc3d865da3254bdcb909e770c1a,attestation,relay_attestation_surface,EVM/L1,43876,H_min,128.0,342.78125,attestation::relay_attestation_surface,native,protocol,protocol,raw,EntropySurface,unknown,unknown,unknown,"Measured via Foundry (log): ProtocolRelayAttestationSurface_Gas_Test.test_relay_attestation_surface_gas() => 43876 gas. If mode=harness, this includes test overhead because the marker log line was not found. Denominator is H_min under explicit threat model; H_min=128 is a declared placeholder until model is pinned down.",,,,,
2026-01-04T20:49:38Z,gas-per-secure-bit,6ae5e5b5d4d06fc3d865da3254bdcb909e770c1a,das,verify_sample_512b_surface,EVM/L1,2464,das_sample_bits,4096.0,0.6015625,da::verify_sample_512b_surface,native,protocol,protocol,raw,DataAvailabilitySurface,unknown,unknown,unknown,Measured via Foundry (log): ProtocolDASSampleSurface_Gas_Test.test_gas_das_verify_sample_512b_surface() => 2464 gas. Denominator is sample size bits (512B = 4096 bits). Protocol surface for DA sampling/verification cost budgeting.,,,,,
2026-01-04T20:49:38Z,gas-per-secure-bit,6ae5e5b5d4d06fc3d865da3254bdcb909e770c1a,randao,mix_for_sample_selection_surface,EVM/L1,13081,H_min,32.0,408.78125,entropy::randao_mix_for_sample_selection_surface,native,protocol,protocol,raw,EntropySurface,unknown,unknown,unknown,Measured via Foundry (log): ProtocolRandaoSamplingSurface_Gas_Test.test_gas_randao_mix_for_sample_selection_surface() => 13081 gas. Intended use: selecting random DAS samples. Denominator H_min=32 is a declared placeholder until the threat model is pinned down.,,,,,
2026-01-04T21:00:41Z,QuantumAccount,1970dcad8907c5dcb0df5ae51ea962b10fc3227b,falcon,falcon_verifySignature_log,EVM/L1,10336055,security_equiv_bits,256.0,40375.21484375,sig::falcon::verify,native,execution,vendor,raw,SignatureVerify,unknown,unknown,unknown,Vendor: QuantumAccount pinned (ref=1970dcad8907c5dcb0df5ae51ea962b10fc3227b). Parsed from Foundry logs: test_falcon_verify_gas_log => 'gas_falcon_verify: <N>' (log-isolated).,,,,,
2026-01-04T21:00:41Z,QuantumAccount,1970dcad8907c5dcb0df5ae51ea962b10fc3227b,falcon,qa_validateUserOp_userop_log,EVM/L1,10589132,security_equiv_bits,256.0,41363.796875,aa::validateUserOp::falcon,native,execution,vendor,raw,AA/ValidateUserOp,unknown,unknown,unknown,Vendor: QuantumAccount pinned (ref=1970dcad8907c5dcb0df5ae51ea962b10fc3227b). Parsed from Foundry logs: test_validateUserOp_gas_log => 'gas_validateUserOp: <N>' (log-isolated).,,,,,
2026-01-05T00:08:34Z,ZKNoxHQ/ETHDILITHIUM,df999ed4f8032d26d9d3d22748407afbb7978ae7,dilithium,ethdilithium_eth_verify_log,EVM/L1,13493048,lambda_eff,128.0,105414.4375,sig::dilithium::verify,native,execution,unknown,,,unknown,unknown,unknown,ETHDILITHIUM (ETH mode) (ref=df999ed4f8032d26d9d3d22748407afbb7978ae7; path=test/ZKNOX_ethdilithium.t.sol; match=testVerify; needle=Gas used:),,"{""repo"":""ZKNoxHQ/ETHDILITHIUM"",""commit"":""df999ed4f8032d26d9d3d22748407afbb7978ae7"",""path"":""vendors/ETHDILITHIUM""}",,,
2026-01-05T00:08:38Z,ZKNoxHQ/ETHDILITHIUM,df999ed4f8032d26d9d3d22748407afbb7978ae7,dilithium,ethdilithium_nist_verify_log,EVM/L1,20155935,lambda_eff,128.0,157468.2421875,sig::dilithium::verify,native,execution,unknown,,,unknown,unknown,unknown,ETHDILITHIUM (NIST mode) (ref=df999ed4f8032d26d9d3d22748407afbb7978ae7; path=test/ZKNOX_dilithium.t.sol; match=testVerify; needle=Gas used:),,"{""repo"":""ZKNoxHQ/ETHDILITHIUM"",""commit"":""df999ed4f8032d26d9d3d22748407afbb7978ae7"",""path"":""vendors/ETHDILITHIUM""}",,,
2026-01-05T00:08:42Z,ZKNoxHQ/ETHDILITHIUM,df999ed4f8032d26d9d3d22748407afbb7978ae7,p256,ethdilithium_p256verify_log,EVM/L1,22124,lambda_eff,128.0,172.84375,sig::p256::verify,native,execution,unknown,,,unknown,unknown,unknown,ETHDILITHIUM P-256 verify micro (ref=df999ed4f8032d26d9d3d22748407afbb7978ae7; path=test/ZKNOX_p256verify.t.sol; match=testVerify; needle=Gas used:),,"{""repo"":""ZKNoxHQ/ETHDILITHIUM"",""commit"":""df999ed4f8032d26d9d3d22748407afbb7978ae7"",""path"":""vendors/ETHDILITHIUM""}",,,
2026-01-07T20:24:07Z,gas-per-secure-bit,1a3c564eadfdc2c4cd8ada4b189d462b739a123c,sigproto,eip7932_precompile_assumption,EVM/L1,0,security_equiv_bits,256,0.0,sigproto::eip7932_precompile_assumption,native,protocol,,,,unknown,unknown,unknown,placeholder: protocol-facing signature interface / precompile (EIP-7932 candidate); enables vNext weakest-link scenarios,,,,,
2026-01-07T20:24:07Z,gas-per-secure-bit,1a3c564eadfdc2c4cd8ada4b189d462b739a123c,falcon1024,qa_handleOps_userop_foundry_weakest_link_sigproto,EVM/L1,10966076,security_equiv_bits,256,42836.234375,aa::handleOps::falcon1024::weakest_link_sigproto,native,execution,,weakest_link,,unknown,explicit,EVM_SIG_LANE_V0,vNext: AA path assuming protocol-facing PQ signature surface (no L1 ECDSA envelope cap); keeps full handleOps gas,"[""sigproto::eip7932_precompile_assumption""]",,,,
2026-01-09T03:44:59Z,ml-dsa-65-ethereum-verification,5fe978a,mldsa65,mldsa65_erc7913_verifyWithPackedA_callctx,EVM/L1,39772,lambda_eff,128.0,310.71875,sig::mldsa65::verify,native,execution,unknown,,,unknown,explicit,EVM_SIG_LANE_V0,"call-context gas on anvil (31337); verifyWithPackedA(bytes sig, bytes32 hash, bytes pk, bytes packedA_ntt); packedA dummy (zero blob correct length) => mv=0xffffffff",,"{""commit"":""5fe978a"",""path"":""vendors/ml-dsa-65-ethereum-verification"",""ref"":""feature/mldsa-dropin-verifier"",""repo"":""ml-dsa-65-ethereum-verification"",""runner"":""anvil + forge script script/RunERC7913PackedADemo.s.sol:RunERC7913PackedADemo""}",,,
2026-01-09T03:44:59Z,ml-dsa-65-ethereum-verification,5fe978a,mldsa65,mldsa65_erc1271_packedA_wallet_callctx,EVM/L1,95392,lambda_eff,128.0,745.25,sig::mldsa65::verify,native,execution,unknown,,,unknown,explicit,EVM_SIG_LANE_V0,"call-context gas on anvil (31337); ERC-1271 wallet delegates to ERC-7913 verifyWithPackedA; signature=abi.encode(pkBytes,sigBytes,packedA_ntt); packedA dummy => mv=0xffffffff",,"{""commit"":""5fe978a"",""path"":""vendors/ml-dsa-65-ethereum-verification"",""ref"":""feature/mldsa-dropin-verifier"",""repo"":""ml-dsa-65-ethereum-verification"",""runner"":""anvil + forge script script/RunERC7913PackedADemo.s.sol:RunERC7913PackedADemo""}",,,
2026-01-14T01:08:28Z,gas-per-secure-bit,23f70c7,zk_groth16_bn254,groth16_bn254_pairing4_surface,EVM/L1,355364,lambda_eff,128.0,2776.28125,zk::groth16_bn254::pairing4,zk_proxy_groth16_bn254,settlement,unknown,unknown,zk::protocol,unknown,explicit,EVM_ZK_FROM_PQ_LANE_V0,"BN254 pairing precompile (0x08), 4 pairs. Input all-zero (point at infinity encoding). Measures proof-verifier surface gas; not native PQ verify. calldata_bytes≈768, out=32.",,"{""runner"":""forge test --match-test test_gas_groth16_bn254_pairing4_surface -vv"",""path"":"".""}",,,
2026-01-28T20:18:53Z,pipavlo82/ml-dsa-65-ethereum-verification,6d58ce9e64b4c499fc52395e01e2bfbcd967d441,mldsa65,verify_poc_foundry,EVM/L1,68901612,lambda_eff,128.0,538293.84375,,,,unknown,,,unknown,unknown,unknown,ml-dsa-65-ethereum-verification (ref=feature/mldsa-ntt-opt-phase12-erc7913-packedA; needle=test_verify_gas_poc),,"{""repo"":""pipavlo82/ml-dsa-65-ethereum-verification"",""commit"":""6d58ce9e64b4c499fc52395e01e2bfbcd967d441"",""path"":""vendors/ml-dsa-65-ethereum-verification""}",,,
2026-01-28T20:18:56Z,pipavlo82/ml-dsa-65-ethereum-verification,6d58ce9e64b4c499fc52395e01e2bfbcd967d441,mldsa65,preA_compute_w_fromPackedA_ntt_rho0_log,EVM/L1,1499354,lambda_eff,128.0,11713.703125,,,,unknown,,,unknown,unknown,unknown,ml-dsa-65-ethereum-verification (ref=feature/mldsa-ntt-opt-phase12-erc7913-packedA; needle=gas_compute_w_fromPacked_A_ntt(rho0)),,"{""repo"":""pipavlo82/ml-dsa-65-ethereum-verification"",""commit"":""6d58ce9e64b4c499fc52395e01e2bfbcd967d441"",""path"":""vendors/ml-dsa-65-ethereum-verification""}",,,
2026-01-28T20:18:59Z,pipavlo82/ml-dsa-65-ethereum-verification,6d58ce9e64b4c499fc52395e01e2bfbcd967d441,mldsa65,preA_compute_w_fromPackedA_ntt_rho1_log,EVM/L1,1499354,lambda_eff,128.0,11713.703125,,,,unknown,,,unknown,unknown,unknown,ml-dsa-65-ethereum-verification (ref=feature/mldsa-ntt-opt-phase12-erc7913-packedA; needle=gas_compute_w_fromPacked_A_ntt(rho1)),,"{""repo"":""pipavlo82/ml-dsa-65-ethereum-verification"",""commit"":""6d58ce9e64b4c499fc52395e01e2bfbcd967d441"",""path"":""vendors/ml-dsa-65-ethereum-verification""}",,,
